JOB_ID,ENAME,ELNAME,HIRE_DATE,DEPT_NO,SALARY,DEPT,COMMISSION
1,DEVANGI,PRAJAPATI,1996-12-19,1,5000,MANAGER,700
2,SACHIN,PRAJAPATI,1993-09-07,2,6000,CLERK,600
3,"UTKARSH ",VATALIA,1999-04-19,3,4000,WORKER,150
4,HEET,PRAJAPATI,2000-12-14,4,8000,WORKER,200
5,ASHWIN,VATALIA,1968-06-20,5,10000,CLERK,500
6,FALGUNI,VATALIA,1970-08-04,5,7000,WORKER,250
7,PRAVIN,PRAJAPATI,1963-12-30,6,6500,WORKER,300
8,RUTVA,DHNALIYA,2000-12-05,7,13000,CLERK,430
9,VIRAJ,VATALIA,1996-04-20,8,12000,WORKER,100
10,FORAM,PRAJAPATI,2000-07-06,9,8500,WORKER,300
